,tl,tm,tr,ml,mm,mr,ll,lm,lr,Class
606,o,o,b,x,x,x,o,x,b,positive
607,x,b,o,x,x,o,x,o,b,positive
608,o,b,o,x,x,x,o,x,b,positive
609,o,x,b,b,o,x,b,x,o,negative
610,x,o,b,x,o,o,x,b,x,positive
611,x,b,x,x,b,b,o,o,o,negative
612,x,o,x,x,o,x,b,o,o,negative
613,x,b,o,o,x,x,b,o,x,positive
614,o,o,o,x,x,o,b,x,x,negative
615,x,o,b,b,x,o,o,x,x,positive
616,o,x,b,o,x,o,b,x,x,positive
617,b,o,b,x,x,x,b,o,b,positive
618,o,b,x,x,b,x,o,o,x,positive
619,x,x,x,b,x,o,o,o,b,positive
620,o,x,o,x,x,o,x,o,x,negative
621,o,x,x,o,x,x,o,b,o,negative
622,o,b,x,x,o,b,b,x,o,negative
623,o,o,o,x,b,x,x,x,o,negative
624,b,x,o,b,o,b,o,x,x,negative
625,o,x,o,x,o,x,b,x,o,negative
626,x,o,o,b,x,o,x,b,x,positive
627,o,x,x,b,o,x,o,x,o,negative
628,o,b,x,o,b,b,o,x,x,negative
629,b,o,b,x,o,x,x,o,b,negative
630,x,b,o,x,x,b,x,o,o,positive
631,o,b,o,o,x,b,x,x,x,positive
632,x,x,o,o,o,x,o,x,b,negative
633,b,o,b,x,x,x,o,b,b,positive
634,x,x,o,x,o,b,x,b,o,positive
635,o,x,x,o,o,b,o,x,x,negative
636,x,x,x,b,b,b,o,b,o,positive
637,x,o,x,b,b,x,o,o,x,positive
638,o,x,x,o,x,b,o,o,x,negative
639,x,x,x,b,b,o,b,o,b,positive
640,x,x,x,x,o,o,b,b,o,positive
641,x,b,o,x,b,o,x,b,b,positive
642,o,b,b,o,x,x,o,x,b,negative
643,x,o,b,o,o,b,x,x,x,positive
644,o,x,x,x,o,o,b,x,o,negative
645,x,o,o,b,b,o,x,x,x,positive
646,x,x,x,o,b,x,o,o,b,positive
647,x,x,x,o,x,b,b,o,o,positive
648,b,x,b,o,o,o,x,b,x,negative
649,b,o,o,x,x,x,x,b,o,positive
650,o,b,x,o,x,b,x,o,x,positive
651,x,o,x,o,o,x,x,x,o,negative
652,x,x,x,b,o,o,x,o,b,positive
653,x,x,o,o,x,x,o,o,x,positive
654,o,x,x,o,b,b,o,b,x,negative
655,o,x,o,x,x,x,o,b,b,positive
656,x,x,x,x,o,o,x,o,o,positive
657,o,b,x,b,o,x,b,x,o,negative
658,o,x,b,x,o,b,b,x,o,negative
659,x,o,o,x,o,x,x,x,o,positive
660,o,x,b,o,x,b,o,b,x,negative
661,b,o,x,x,x,o,x,o,b,positive
662,b,b,o,x,o,o,x,x,x,positive
663,b,x,o,o,o,b,x,x,x,positive
664,x,b,b,b,x,x,o,o,o,negative
665,x,x,x,o,o,x,o,o,x,positive
666,x,b,o,x,x,o,b,b,o,negative
667,x,o,b,o,x,x,o,b,x,positive
668,b,x,o,x,x,b,o,x,o,positive
669,x,x,x,b,o,x,o,b,o,positive
670,x,o,o,x,x,x,o,b,b,positive
671,x,o,x,b,o,b,b,o,x,negative
672,o,x,o,x,o,x,x,o,x,negative
673,x,o,b,b,x,b,o,b,x,positive
674,o,x,b,x,x,x,b,o,o,positive
675,b,b,o,b,b,o,x,x,x,positive
676,x,b,b,o,o,o,x,x,b,negative
677,b,o,b,o,o,x,x,x,x,positive
678,x,b,o,o,x,o,x,b,x,positive
679,b,x,x,b,x,b,o,o,o,negative
680,o,x,o,x,x,o,b,x,b,positive
681,o,x,x,o,o,b,x,x,o,negative
682,x,x,x,b,b,b,o,o,b,positive
683,o,o,o,b,b,x,x,b,x,negative
684,x,o,x,o,o,x,o,x,x,positive
685,o,x,x,b,x,o,x,b,o,positive
686,o,o,x,x,o,o,x,x,x,positive
687,b,b,b,x,x,x,o,b,o,positive
688,b,x,o,x,x,x,o,b,o,positive
689,x,x,o,b,o,x,o,b,b,negative
690,b,x,x,o,o,o,x,x,o,negative
691,x,b,o,x,x,x,b,o,o,positive
692,b,b,x,b,x,b,x,o,o,positive
693,o,x,b,o,b,b,o,x,x,negative
694,o,o,x,x,x,x,o,x,o,positive
695,o,b,b,b,o,x,x,x,o,negative
696,x,b,o,x,o,b,x,x,o,positive
697,x,o,o,b,o,b,x,x,x,positive
698,x,x,b,o,x,b,o,x,o,positive
699,x,b,o,b,o,x,o,x,b,negative
700,o,o,o,x,o,x,x,x,b,negative
701,o,o,o,x,o,x,x,b,x,negative
702,o,b,x,x,o,o,x,x,o,negative
703,b,x,o,x,x,o,b,b,o,negative
704,x,o,o,x,b,b,x,o,x,positive
705,x,b,o,o,x,o,x,x,o,negative
706,x,x,x,o,x,b,o,o,b,positive
707,o,x,b,b,o,b,x,x,o,negative
708,x,b,b,o,x,x,o,o,x,positive
709,x,x,x,o,x,o,b,o,b,positive
710,b,x,o,b,x,o,b,x,b,positive
711,x,o,o,o,x,o,x,x,x,positive
712,b,x,o,o,x,b,o,x,x,positive
713,x,b,x,o,o,x,b,o,x,positive
714,b,b,x,o,x,o,x,o,x,positive
715,x,x,x,b,o,o,o,x,b,positive
716,b,o,x,b,o,x,b,b,x,positive
717,x,x,x,o,b,b,o,o,x,positive
718,b,x,x,o,x,o,o,x,b,positive
719,x,o,x,x,o,x,o,o,b,negative
720,b,b,x,o,x,o,x,b,b,positive
721,b,x,o,b,b,o,x,x,o,negative
722,o,x,x,x,o,x,o,o,x,positive
723,o,b,b,o,b,x,o,x,x,negative
724,o,x,o,b,o,b,x,x,x,positive
725,x,o,o,b,x,b,x,o,x,positive
726,b,x,x,o,o,o,b,b,x,negative
727,o,o,b,b,x,o,x,x,x,positive
728,x,b,x,b,x,o,x,o,o,positive
729,x,b,b,b,x,o,o,b,x,positive
730,x,b,x,o,x,x,o,o,o,negative
731,o,o,b,o,b,x,x,x,x,positive
732,x,o,x,b,x,o,x,b,o,positive
733,o,x,x,b,o,x,b,b,o,negative
734,x,b,b,x,b,x,o,o,o,negative
735,o,x,b,o,o,x,o,x,x,negative
736,o,b,o,x,b,o,x,x,x,positive
737,x,o,x,o,x,x,x,o,o,positive
738,x,x,x,b,o,x,b,o,o,positive
739,x,b,b,o,o,o,x,b,x,negative
740,b,b,x,o,x,b,x,b,o,positive
741,o,o,x,o,x,b,x,x,b,positive
742,o,x,b,o,b,x,o,x,b,negative
743,o,o,x,b,x,b,x,x,o,positive
744,x,o,x,b,o,x,x,o,o,negative
745,b,o,o,x,x,o,x,x,o,negative
746,x,x,b,o,o,o,x,o,x,negative
747,x,b,b,x,b,b,x,o,o,positive
748,x,x,x,o,b,x,o,b,o,positive
749,b,b,x,o,o,o,b,x,x,negative
750,o,o,x,b,b,x,o,x,x,positive
751,x,o,b,x,b,x,x,o,o,positive
752,b,x,x,o,o,o,x,o,x,negative
753,o,o,x,x,x,x,b,b,o,positive
754,o,x,b,o,o,b,x,x,x,positive
755,o,x,o,o,x,x,x,o,x,negative
756,o,b,x,x,x,x,o,b,o,positive
757,o,x,b,x,x,x,o,b,o,positive
758,x,x,x,b,x,o,o,b,o,positive
759,x,x,x,o,o,b,o,b,x,positive
760,b,x,o,x,b,o,b,x,o,negative
761,x,x,x,o,b,b,b,o,b,positive
762,x,o,o,o,x,b,x,b,x,positive
763,b,o,b,x,x,x,o,x,o,positive
764,o,o,x,x,x,x,x,o,o,positive
765,b,b,x,x,x,o,x,o,o,positive
766,o,x,x,o,x,b,o,b,b,negative
767,x,x,b,o,o,o,b,b,x,negative
768,b,x,o,x,o,o,o,x,x,negative
769,x,x,o,o,x,o,b,x,b,positive
770,o,b,o,x,x,x,b,b,b,positive
771,b,o,o,x,x,x,b,b,b,positive
772,o,b,b,o,x,b,o,x,x,negative
773,x,x,x,x,o,b,o,b,o,positive
774,x,x,o,x,b,x,o,o,o,negative
775,x,x,x,o,b,o,o,b,x,positive
776,x,o,b,b,o,o,x,x,x,positive
777,o,o,o,b,x,x,b,b,x,negative
778,x,b,o,x,b,b,x,o,b,positive
779,o,o,x,o,x,b,o,x,x,negative
780,x,o,o,x,b,b,x,x,o,positive
781,x,o,b,x,b,o,x,x,o,positive
782,x,o,o,x,x,x,b,o,b,positive
783,o,x,o,o,b,x,o,x,x,negative
784,x,b,x,o,b,x,o,o,x,positive
785,x,x,x,b,o,x,o,o,b,positive
786,o,b,x,b,o,x,x,o,x,positive
787,b,o,x,o,b,x,b,b,x,positive
788,b,b,b,b,o,o,x,x,x,positive
789,b,o,x,o,b,x,o,x,x,positive
790,x,o,b,o,x,x,b,o,x,positive
791,x,x,x,o,b,o,b,x,o,positive
792,x,o,o,o,x,x,x,o,x,positive
793,b,x,o,o,o,x,o,x,x,negative
794,x,b,x,x,o,o,x,o,b,positive
795,x,o,o,o,x,x,b,b,x,positive
796,b,x,x,x,x,o,o,o,o,negative
797,o,x,b,x,x,x,o,o,b,positive
798,x,x,b,o,x,b,o,o,x,positive
799,o,o,o,x,x,b,x,o,x,negative
800,o,b,x,b,x,b,x,o,b,positive
801,x,x,b,o,o,o,x,x,o,negative
802,x,x,o,x,o,x,o,o,b,negative
803,x,o,x,o,x,o,b,b,x,positive
804,o,o,x,x,x,o,x,o,x,positive
805,x,x,o,b,x,o,b,b,o,negative
806,o,o,x,x,x,x,b,o,b,positive
807,o,x,x,x,o,b,b,b,o,negative
808,b,o,x,x,x,x,b,o,o,positive
809,b,o,o,b,x,o,x,x,x,positive
810,x,x,x,o,o,b,x,b,o,positive
811,o,x,x,o,o,x,b,b,x,positive
812,x,x,x,b,b,o,o,o,x,positive
813,b,o,x,o,x,x,o,b,x,positive
814,x,o,x,o,x,b,x,b,o,positive
815,x,o,o,x,x,b,b,o,x,positive
816,x,o,x,o,x,o,x,x,o,positive
817,o,b,x,o,b,x,b,b,x,positive
818,o,x,b,o,x,x,o,o,x,negative
819,x,o,x,o,x,b,o,b,x,positive
820,x,x,o,o,o,x,x,x,o,negative
821,o,x,x,x,o,o,o,x,x,negative
822,b,o,x,b,o,x,o,x,x,positive
823,b,o,x,x,o,o,x,o,x,negative
824,o,o,b,o,x,b,x,x,x,positive
825,x,x,b,o,o,o,o,x,x,negative
826,x,x,x,o,b,b,o,b,b,positive
827,x,x,x,b,o,o,b,x,o,positive
828,x,b,o,o,x,o,b,x,x,positive
829,o,b,x,o,o,b,x,x,x,positive
830,o,x,b,o,o,x,x,x,o,negative
831,x,x,x,b,o,o,b,o,x,positive
832,o,x,o,o,x,x,x,x,o,positive
833,b,x,b,o,x,x,o,x,o,positive
834,o,o,b,x,x,x,x,o,b,positive
835,x,b,x,o,x,o,x,b,o,positive
836,x,x,o,x,o,o,o,x,b,negative
837,x,x,x,o,o,b,b,x,o,positive
838,b,o,b,x,o,o,x,x,x,positive
839,o,b,x,o,x,x,b,o,x,positive
840,b,o,o,x,x,x,b,o,x,positive
841,x,b,o,x,x,o,o,b,x,positive
842,x,o,o,b,x,x,b,o,x,positive
843,x,b,x,x,o,b,x,o,o,positive
844,b,o,b,x,x,x,b,b,o,positive
845,x,x,x,b,x,o,b,o,o,positive
846,o,x,x,o,x,o,b,x,b,positive
847,o,x,o,b,o,x,o,x,x,negative
848,o,b,b,x,x,x,x,o,o,positive
849,x,x,o,x,b,o,b,b,o,negative
850,o,b,x,o,o,x,x,x,o,negative
851,b,o,x,x,o,x,b,o,b,negative
852,o,b,x,x,x,b,x,o,o,positive
853,x,b,o,b,x,b,o,b,x,positive
854,o,x,x,o,x,o,x,b,b,positive
855,x,o,b,x,b,b,x,o,b,positive
856,o,b,x,x,x,o,x,o,b,positive
857,o,x,x,o,o,x,b,x,o,negative
858,x,b,o,o,x,b,o,x,x,positive
859,o,o,x,o,x,x,o,x,b,negative
860,x,x,x,x,o,o,o,x,o,positive
861,b,o,x,x,o,b,x,o,b,negative
862,o,o,o,b,x,x,x,b,b,negative
863,x,o,x,o,o,o,x,x,b,negative
864,o,x,x,o,b,o,o,x,x,negative
865,o,b,b,b,b,o,x,x,x,positive
866,x,b,o,b,o,x,o,b,x,negative
867,b,x,o,x,o,x,o,b,b,negative
868,o,o,o,x,b,b,x,b,x,negative
869,o,b,x,o,x,o,x,x,b,positive
870,o,b,x,b,b,x,o,b,x,positive
871,b,o,x,b,x,o,x,x,o,positive
872,o,o,o,b,x,b,b,x,x,negative
873,x,x,o,o,x,o,x,b,o,negative
874,x,o,b,x,b,o,x,b,b,positive
875,x,x,x,o,o,x,b,o,b,positive
876,o,x,o,o,x,b,x,x,b,positive
877,x,x,x,o,o,x,o,b,b,positive
878,b,x,o,o,x,b,x,x,o,positive
879,o,o,b,b,b,b,x,x,x,positive
880,b,x,b,o,x,o,b,x,b,positive
881,b,o,x,o,o,b,x,x,x,positive
882,x,x,o,o,o,o,b,x,x,negative
883,x,x,x,x,o,b,o,o,b,positive
884,b,o,x,o,x,o,x,x,b,positive
885,o,b,b,o,x,o,x,x,x,positive
886,x,b,b,x,b,o,x,b,o,positive
887,x,x,o,x,o,x,o,b,o,negative
888,x,o,x,o,x,o,x,b,b,positive
889,b,x,b,b,x,o,o,x,b,positive
890,o,o,b,x,x,x,x,b,o,positive
891,x,o,x,o,b,x,b,o,x,positive
892,o,x,o,x,o,x,o,b,x,negative
893,x,o,b,b,x,o,x,o,x,positive
894,o,x,x,b,o,b,b,x,o,negative
895,x,o,x,x,o,o,o,x,x,negative
896,b,o,o,x,x,x,x,o,b,positive
897,o,x,x,o,x,x,x,o,o,positive
898,x,x,x,o,b,b,b,b,o,positive
899,o,x,o,o,x,o,x,x,x,positive
900,x,b,o,b,x,x,o,o,x,positive
901,x,b,x,o,o,o,x,b,b,negative
902,b,x,x,o,o,o,o,x,x,negative
903,o,o,o,x,x,b,b,x,b,negative
904,x,x,o,b,x,o,o,b,x,positive
905,x,o,b,x,x,b,x,o,o,positive
906,o,o,x,b,x,o,x,x,b,positive
907,o,o,b,o,x,x,o,x,x,negative
908,x,x,o,x,x,o,o,b,o,negative
909,o,x,o,x,o,b,o,x,x,negative
910,x,o,o,x,b,b,x,b,b,positive
911,o,o,b,x,o,x,x,o,x,negative
912,o,x,x,o,x,o,x,o,x,positive
913,x,o,o,o,x,b,b,x,x,positive
914,x,o,b,x,b,b,x,b,o,positive
915,b,x,o,x,o,x,o,x,o,negative
916,o,b,b,x,o,x,b,x,o,negative
917,o,x,b,x,x,o,o,x,b,positive
918,x,b,b,x,o,x,x,o,o,positive
919,x,o,o,x,b,o,x,b,x,positive
920,x,o,o,x,x,b,x,b,o,positive
921,o,b,o,o,b,x,x,x,x,positive
922,o,o,x,b,b,x,x,o,x,positive
923,o,o,o,o,x,x,b,x,x,negative
924,x,b,o,o,x,x,o,b,x,positive
925,b,b,x,o,o,x,b,b,x,positive
926,o,x,b,b,x,x,o,x,o,positive
927,o,o,x,b,b,x,b,b,x,positive
928,o,o,x,b,x,b,x,b,b,positive
929,b,o,o,x,o,x,o,x,x,negative
930,o,b,x,o,x,x,o,b,b,negative
931,x,b,o,b,o,b,o,x,x,negative
932,o,o,o,b,x,b,x,b,x,negative
933,o,b,x,b,o,x,b,b,x,positive
934,o,x,o,o,x,x,b,x,b,positive
935,o,b,x,b,x,o,x,x,o,positive
936,b,x,x,o,x,o,x,o,b,positive
937,b,x,o,x,x,o,o,x,b,positive
938,x,x,o,b,x,o,b,o,x,positive
939,x,x,o,o,x,o,b,b,x,positive
940,b,x,o,o,x,o,x,x,b,positive
941,b,x,x,o,x,o,b,x,o,positive
942,b,b,o,x,x,x,b,o,b,positive
943,b,x,x,o,o,x,b,o,x,positive
944,x,b,o,b,b,o,x,x,o,negative
945,o,o,x,x,o,x,x,b,o,negative
946,b,b,x,b,x,o,x,b,o,positive
947,b,b,o,x,x,o,x,b,o,negative
948,x,x,b,x,o,o,x,b,o,positive
949,b,x,b,o,o,o,b,x,x,negative
950,o,o,x,o,x,b,x,b,x,positive
951,x,b,b,o,x,o,b,b,x,positive
952,b,x,b,x,b,x,o,o,o,negative
953,x,x,o,o,o,b,o,x,x,negative
954,o,x,b,x,o,x,b,b,o,negative
955,o,b,o,b,b,b,x,x,x,positive
956,b,o,x,b,x,o,x,b,b,positive
957,b,x,o,o,x,b,b,x,b,positive
